  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:03 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    4 ?        I<     0:00 [kworker/0:0H]
    6 ?        I<     0:00 [mm_percpu_wq]
    7 ?        S      0:00 [ksoftirqd/0]
    8 ?        I      0:19 [rcu_sched]
    9 ?        I      0:00 [rcu_bh]
   10 ?        S      0:00 [migration/0]
   11 ?        S      0:00 [watchdog/0]
   12 ?        S      0:00 [cpuhp/0]
   13 ?        S      0:00 [cpuhp/1]
   14 ?        S      0:00 [watchdog/1]
   15 ?        S      0:00 [migration/1]
   16 ?        S      0:00 [ksoftirqd/1]
   18 ?        I<     0:00 [kworker/1:0H]
   19 ?        S      0:00 [cpuhp/2]
   20 ?        S      0:00 [watchdog/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:00 [ksoftirqd/2]
   24 ?        I<     0:00 [kworker/2:0H]
   25 ?        S      0:00 [cpuhp/3]
   26 ?        S      0:00 [watchdog/3]
   27 ?        S      0:00 [migration/3]
   28 ?        S      0:00 [ksoftirqd/3]
   30 ?        I<     0:00 [kworker/3:0H]
   31 ?        S      0:00 [kdevtmpfs]
   32 ?        I<     0:00 [netns]
   33 ?        S      0:00 [rcu_tasks_kthre]
   34 ?        S      0:00 [kauditd]
   37 ?        S      0:00 [khungtaskd]
   38 ?        S      0:00 [oom_reaper]
   39 ?        I<     0:00 [writeback]
   40 ?        S      0:00 [kcompactd0]
   41 ?        SN     0:00 [ksmd]
   42 ?        SN     0:00 [khugepaged]
   43 ?        I<     0:00 [crypto]
   44 ?        I<     0:00 [kintegrityd]
   45 ?        I<     0:00 [kblockd]
   48 ?        I<     0:00 [ata_sff]
   49 ?        I<     0:00 [md]
   50 ?        I<     0:00 [edac-poller]
   51 ?        I<     0:00 [devfreq_wq]
   52 ?        I<     0:00 [watchdogd]
   57 ?        S      0:01 [kswapd0]
   58 ?        S      0:00 [ecryptfs-kthrea]
  100 ?        I<     0:00 [kthrotld]
  101 ?        I<     0:00 [acpi_thermal_pm]
  105 ?        I<     0:00 [ipv6_addrconf]
  115 ?        I<     0:00 [kstrp]
  132 ?        I<     0:00 [charger_manager]
  173 ?        S      0:00 [scsi_eh_0]
  174 ?        I<     0:00 [scsi_tmf_0]
  175 ?        S      0:00 [scsi_eh_1]
  176 ?        I<     0:00 [scsi_tmf_1]
  177 ?        S      0:00 [scsi_eh_2]
  178 ?        I<     0:00 [scsi_tmf_2]
  212 ?        I<     0:00 [nvkm-disp]
  213 ?        I<     0:00 [ttm_swap]
  216 ?        I<     0:00 [kworker/3:1H]
  218 ?        S      0:05 [i915/signal:0]
  219 ?        S      0:00 [i915/signal:1]
  220 ?        S      0:00 [i915/signal:2]
  221 ?        S      0:00 [i915/signal:4]
  247 ?        I<     0:00 [raid5wq]
  293 ?        S      0:00 [jbd2/sda1-8]
  294 ?        I<     0:00 [ext4-rsv-conver]
  333 ?        I<     0:00 [kworker/2:1H]
  338 ?        Ss     0:02 /lib/systemd/systemd-journald
  354 ?        Ss     0:00 /sbin/lvmetad -f
  358 ?        Ss     0:00 /lib/systemd/systemd-udevd
  359 ?        I<     0:00 [kworker/0:1H]
  398 ?        I<     0:00 [kworker/1:1H]
  476 ?        I<     0:00 [cfg80211]
  500 ?        S      0:39 [irq/50-iwlwifi]
  555 ?        Sl     0:00 /home/chao/.vscode/extensions/ms-vscode.cpptools-0.26.3/bin/Microsoft.VSCode.CPP.IntelliSense.Msvc.linux 24154 75
  634 ?        S      0:00 [jbd2/sda4-8]
  635 ?        I<     0:00 [ext4-rsv-conver]
  797 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
 1075 ?        SLl    0:31 /opt/google/chrome/chrome
 1086 ?        S      0:00 cat
 1087 ?        S      0:00 cat
 1092 ?        S      0:00 /opt/google/chrome/chrome --type=zygote
 1095 ?        S      0:00 /opt/google/chrome/nacl_helper
 1098 ?        S      0:00 /opt/google/chrome/chrome --type=zygote
 1130 ?        Sl     1:00 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=18077600620384432402,17547024659159201173,131072 --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=117902686081112384
 1135 ?        SLl    0:09 /opt/google/chrome/chrome --type=utility --field-trial-handle=18077600620384432402,17547024659159201173,131072 --lang=en-US --service-sandbox-type=network --service-request-channel-token=13193684258332299293 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1186 ?        Sl     0:12 /opt/google/chrome/chrome --type=renderer --field-trial-handle=18077600620384432402,17547024659159201173,131072 --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12240791876596492148 --renderer-client-id=4 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1198 ?        Sl     0:07 /opt/google/chrome/chrome --type=renderer --field-trial-handle=18077600620384432402,17547024659159201173,131072 --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=14688991850934957703 --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1228 ?        Sl     0:03 /opt/google/chrome/chrome --type=utility --field-trial-handle=18077600620384432402,17547024659159201173,131072 --lang=en-US --service-sandbox-type=utility --service-request-channel-token=10662663619921755040 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1255 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=18077600620384432402,17547024659159201173,131072 --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=4201106830839432240 --renderer-client-id=6 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1261 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=18077600620384432402,17547024659159201173,131072 --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16903977388023837451 --renderer-client-id=7 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1271 ?        Sl     0:09 /opt/google/chrome/chrome --type=renderer --field-trial-handle=18077600620384432402,17547024659159201173,131072 --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6389934741617373692 --renderer-client-id=8 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1312 ?        Ss     0:14 /usr/sbin/acpid
 1320 ?        Ss     0:00 /usr/sbin/cron -f
 1327 ?        Ssl    0:00 /usr/sbin/ModemManager
 1335 ?        Ss     0:00 /usr/sbin/cupsd -l
 1347 ?        Ss     0:00 /lib/systemd/systemd-logind
 1348 ?        Ss     0:19 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
 1364 ?        Sl     0:07 /opt/google/chrome/chrome --type=renderer --field-trial-handle=18077600620384432402,17547024659159201173,131072 --lang=en-US --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12340358934606974993 --renderer-client-id=14 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1508 ?        Ss     0:00 /bin/sh /usr/bin/deepin-anything-tool-ionice --dbus
 1509 ?        Ssl    0:12 /usr/lib/deepin-daemon/dde-system-daemon
 1510 ?        Ssl    0:07 /usr/sbin/NetworkManager --no-daemon
 1511 ?        Sl     0:50 deepin-anything-tool --dbus
 1513 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
 1579 ?        Sl     0:09 /opt/google/chrome/chrome --type=renderer --field-trial-handle=18077600620384432402,17547024659159201173,131072 --lang=en-US --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=1017922634720487892 --renderer-client-id=17 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1612 ?        Sl     0:15 /opt/google/chrome/chrome --type=renderer --field-trial-handle=18077600620384432402,17547024659159201173,131072 --lang=en-US --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=15827119577197289026 --renderer-client-id=19 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1637 ?        Ssl    0:00 /usr/lib/policykit-1/polkitd --no-debug
 1667 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
 2077 ?        Ssl    0:15 /usr/lib/udisks2/udisksd --no-debug
 2106 ?        Sl     0:00 /opt/pbis/sbin/lwsmd --start-as-daemon
 2137 ?        Sl     0:00 lw-container lwreg
 2350 ?        SLsl   0:00 /usr/sbin/lightdm
 2453 ?        Sl     0:00 lw-container eventlog
 2500 tty1     Ssl+   8:02 /usr/lib/xorg/Xorg -background none :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt1 -novtswitch
 2553 ?        Sl     0:00 lw-container netlogon
 2664 ?        Sl     0:00 lw-container lwio
 2764 ?        Sl     0:00 lw-container lsass
 2882 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
 2954 ?        Sl     0:00 lw-container reapsysl
 4037 ?        Sl     0:00 lightdm --session-child 13 22
